ingredient,general people inflammation,Sam inflammation,Andrea inflammation
Alcoholic beverage,-0.591,0.147,
Alcoholic beverage,0.938,,0.414
Alcoholic beverage,-0.567,,
Alcoholic beverage,0.902,0.961,-0.107
Alcoholic beverage,-0.677,,
Alcoholic beverage,-0.805,-0.552,
Alcoholic beverage,0.23,-0.124,0.922
Alcoholic beverage,0.463,-0.038,
Alcoholic beverage,0.982,,-0.808
Alcoholic beverage,-0.758,,-0.973
Alcoholic beverage,0.829,0.325,0.193
Alcoholic beverage,0.568,,
Alcoholic beverages,0.846,,0.791
Alcoholic beverages,-0.634,,
Alfalfa seeds,-0.748,,
Almond butter,0.817,,
Almond milk,-0.827,-0.214,
Animal fat,-0.048,,0.264
Apple juice,0.171,0.593,
Apple juice,-0.914,,-0.077
Apple juice,0.412,,
Apple juice,0.236,0.552,
Apples,0.358,0.879,0.877
Apples,0.73,,
Apples,0.287,-0.179,0.156
Apples,-0.772,,
Apples,-0.604,-0.494,0.546
Apples,0.528,0.226,
Apples,0.984,0.348,
Apples,0.439,0.321,0.258
Applesauce,0.964,-0.136,
Applesauce,0.371,-0.556,0.527
Applesauce,-0.965,-0.164,0.37
Apricot nectar,0.916,,0.508
Apricots,-0.968,,
Apricots,-0.204,0.993,0.193
Apricots,0.54,-0.126,0.464
Artichokes,-0.261,,0.875
Arugula,-0.294,-0.376,-0.881
Asparagus,-0.616,,0.836
Asparagus,-0.165,-0.877,
Asparagus,-0.5,,
Avocados,0.064,,
Babyfood,-0.118,0.869,-0.783
Babyfood,0.957,,0.781
Babyfood,-0.252,,0.497
Babyfood,-0.141,,-0.418
Babyfood,-0.933,0.27,-0.392
Babyfood,0.806,0.367,-0.837
Babyfood,-0.734,-0.35,
Babyfood,-0.797,,0.103
Babyfood,0.464,-0.035,-0.95
Babyfood,-0.687,,0.168
Babyfood,-0.006,0.777,
Babyfood,0.217,,-0.457
Babyfood,-0.012,0.434,
Babyfood,-0.61,0.069,-0.848
Babyfood,-0.536,-0.002,0.408
Babyfood,-0.03,,
Babyfood,-0.508,,-0.519
Babyfood,0.976,0.541,
Babyfood,0.758,,
Babyfood,-0.748,0.695,
Babyfood,0.415,,-0.368
Babyfood,-0.834,-0.933,
Babyfood,-0.396,0.237,-0.371
Babyfood,-0.054,,
Babyfood,0.294,-0.056,-0.018
Babyfood,-0.679,0.203,-0.752
Babyfood,-0.489,,-0.158
Babyfood,0.603,0.748,0.568
Babyfood,0.793,-0.023,-0.794
Babyfood,-0.327,,-0.459
Babyfood,-0.022,0.657,
Babyfood,-0.031,,0.668
Babyfood,0.485,0.926,
Babyfood,-0.102,,-0.48
Babyfood,-0.255,-0.649,
