ingredient,dii_score,matched_nutrients,total_nutrients,match_percentage,general people inflammation,Sam inflammation,Andrea inflammation,10:0,12:0,14:0,16:0,16:1,18:0,18:1,18:2,18:3,18:4,20:1,20:4,20:5 n-3,22:1,22:5 n-3,22:6 n-3,4:0,6:0,8:0,Alcohol,Caffeine,Calcium,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total",Copper,"Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,Iron,Lutein + zeaxanthin,Lycopene,Magnesium,Niacin,Phosphorus,Potassium,Protein,Retinol,Riboflavin,Selenium,Sodium,"Sugars, total",Theobromine,Thiamin,Total Fat,"Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,Vitamin C,Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,Zinc
"Butter, stick, salted",-105.1063,26,65,40.0,-105.1063,-130.6466,-95.9253,1.92,2.2,7.15,21.2,0.999,7.42,15.0,2.25,0.331,0.015,0.117,0.104,0.024,0.004,0.039,0.002,2.04,1.44,0.84,0.0,0.0,21.0,0.06,2.0,168.0,235.0,18.8,0.006,8.0,743.0,16.9,2.52,45.6,0.0,5.0,5.0,5.0,0.0,0.06,0.0,0.0,2.0,0.0,22.0,23.0,0.85,744.0,0.0,0.0,524.0,0.58,0.0,0.005,82.2,758.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,7.0,15.8,0.07
"Butter, whipped, with salt",-79.7371,26,65,40.0,-79.7371,-106.9424,-79.1366,2.039,2.354,7.515,20.531,1.417,7.649,17.37,2.713,0.298,0.003,0.147,0.119,0.022,0.005,0.045,0.003,1.635,1.373,0.858,0.0,0.0,23.0,0.0,1.0,135.0,225.0,18.8,0.01,6.0,731.0,19.874,3.331,45.39,0.0,4.0,4.0,4.0,0.0,0.05,13.0,0.0,1.0,0.022,24.0,41.0,0.49,671.0,0.064,0.0,583.0,0.06,0.0,0.007,78.3,683.0,0.07,0.0,0.008,0.0,0.0,1.37,0.0,4.6,16.72,0.05
"Butter oil, anhydrous",-101.0444,26,65,40.0,-101.0444,-135.9257,-93.9755,2.495,2.793,10.005,26.166,2.228,12.056,25.026,2.247,1.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.226,1.91,1.112,0.0,0.0,4.0,0.0,0.0,193.0,256.0,22.3,0.001,0.0,876.0,28.732,3.694,61.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,3.0,5.0,0.28,824.0,0.005,0.0,2.0,0.0,0.0,0.001,99.48,840.0,0.01,0.0,0.001,0.0,0.0,2.8,0.0,8.6,0.24,0.01
"Cheese, blue",-7.0483,26,65,40.0,-7.0483,,,0.601,0.491,3.301,9.153,0.816,3.235,6.622,0.536,0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.361,0.247,0.0,0.0,528.0,2.34,0.0,74.0,75.0,15.4,0.04,0.0,353.0,7.778,0.8,18.669,0.0,36.0,36.0,36.0,0.0,0.31,0.0,0.0,23.0,1.016,387.0,256.0,21.4,192.0,0.382,14.5,1146.0,0.5,0.0,0.029,28.74,198.0,1.22,0.0,0.166,0.0,0.5,0.25,0.0,2.4,42.41,2.66
"Cheese, brick",-39.2176,26,65,40.0,-39.2176,-48.2119,,0.585,0.482,3.227,8.655,0.817,3.455,7.401,0.491,0.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.914,0.373,0.299,0.0,0.0,674.0,2.79,0.0,76.0,94.0,15.4,0.024,0.0,371.0,8.598,0.784,18.764,0.0,20.0,20.0,20.0,0.0,0.43,0.0,0.0,24.0,0.118,451.0,136.0,23.24,286.0,0.351,14.5,560.0,0.51,0.0,0.014,29.68,292.0,1.26,0.0,0.065,0.0,0.5,0.26,0.0,2.5,41.11,2.6
"Cheese, brie",2.6637,26,65,40.0,2.6637,3.1731,2.4756,0.673,0.504,3.065,8.246,1.007,2.88,6.563,0.513,0.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.564,0.323,0.297,0.0,0.0,184.0,0.45,0.0,9.0,100.0,15.4,0.019,0.0,334.0,8.013,0.826,17.41,0.0,65.0,65.0,65.0,0.0,0.5,0.0,0.0,20.0,0.38,188.0,152.0,20.75,173.0,0.52,14.5,629.0,0.45,0.0,0.07,27.68,174.0,1.65,0.0,0.235,0.0,0.5,0.24,0.0,2.3,48.42,2.38
"Cheese, camembert",-35.2399,26,65,40.0,-35.2399,-46.2589,-33.3624,0.59,0.442,2.686,7.227,0.883,2.524,5.752,0.45,0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494,0.283,0.26,0.0,0.0,388.0,0.46,0.0,12.0,72.0,15.4,0.021,0.0,300.0,7.023,0.724,15.259,0.0,62.0,62.0,62.0,0.0,0.33,0.0,0.0,20.0,0.63,347.0,187.0,19.8,240.0,0.488,14.5,842.0,0.46,0.0,0.028,24.26,241.0,1.3,0.0,0.227,0.0,0.4,0.21,0.0,2.0,51.8,2.38
"Cheese, cheddar",-44.6982,26,65,40.0,-44.6982,-52.3346,-47.7895,0.843,0.963,3.1,8.79,0.516,3.39,7.41,1.16,0.121,0.001,0.064,0.051,0.01,0.001,0.018,0.001,0.653,0.543,0.349,0.0,0.0,707.0,2.44,0.0,0.0,100.0,16.5,0.033,0.0,409.0,7.44,1.18,19.2,0.0,21.0,21.0,21.0,0.0,0.16,0.0,0.0,27.0,0.052,458.0,77.0,23.3,316.0,0.441,28.3,654.0,0.33,0.0,0.029,34.0,316.0,1.06,0.0,0.069,0.0,0.6,0.75,0.0,2.4,36.6,3.67
"Cheese, colby",-23.7539,26,65,40.0,-23.7539,,-21.7839,0.597,0.422,3.831,8.232,0.979,3.63,7.813,0.676,0.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.041,0.259,0.324,0.0,0.0,685.0,2.57,0.0,82.0,95.0,15.4,0.042,0.0,394.0,9.28,0.953,20.218,0.0,18.0,18.0,18.0,0.0,0.76,0.0,0.0,26.0,0.093,457.0,127.0,23.76,257.0,0.375,14.5,604.0,0.52,0.0,0.015,32.11,264.0,0.83,0.0,0.079,0.0,0.6,0.28,0.0,2.7,38.2,3.07
"Cottage cheese, full fat, large or small curd",2.5269,26,65,40.0,2.5269,,2.623,0.064,0.136,0.424,1.23,0.047,0.383,0.714,0.097,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.025,0.023,0.0,0.0,88.0,4.6,0.0,0.0,18.0,18.4,0.0,0.0,103.0,0.916,0.123,2.6,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,9.0,0.138,154.0,124.0,11.62,36.0,0.163,9.7,350.0,2.67,0.0,0.052,4.22,36.0,0.66,0.0,0.047,0.0,0.1,0.08,0.0,0.0,78.1,0.45
